nmc_category,nmc_condition,icd10_code,icd11_code,pathogen_notes,surveillance_artefacts,macod_note,reporting_timeframe
Cat 1,Malaria,B54,1F4Z,P.falciparum→B50.9/1F40.Z; cerebral→B50.0/1F40.0; P.vivax→B51.9/1F41.Z; P.malariae→B52.9/1F42.Z; P.ovale→B53.0/1F43; unspecified→B54/1F4Z,⚠ Malaria deaths in non-endemic provinces coded R50.9 or G93.6 (cerebral oedema) when clinician lacks malaria awareness. Imported malaria deaths can occur in any province.,Malaria deaths under-coded in non-endemic provinces. B54/1F4Z rare in Western Cape or Northern Cape MACOD. True burden exceeds MACOD count.,Immediate ≤24 h
Cat 1,Measles,B05.9,1F03.Z,With pneumonia→B05.2/1F03.1; encephalitis→B05.0/1F03.0; SSPE sequela→A81.1; uncomplicated→B05.9/1F03.Z,⚠ Measles pneumonia deaths coded J18.9 when measles not noted on certificate. Encephalitis coded G04.9 rather than B05.0/1F03.0.,Under-5 MACOD J18.9 pool includes uncoded measles pneumonia deaths. NMC notification counts exceed MACOD measles death counts.,Immediate ≤24 h
Cat 1,Meningococcal disease,A39.9,1C1C.Z,Meningitis→A39.0/1C1C.0; septicaemia→A39.2/1C1C.2; Waterhouse-Friderichsen→A39.1/1C1C.1; unspecified→A39.9/1C1C.Z,⚠ Meningococcal septicaemia coded A41.9 when CSF/blood culture absent from certificate. DIC (D65) as terminal event obscures A39 aetiology.,A41.9 and G03.9 in MACOD conceal confirmed meningococcal deaths. Lab-linked MACOD reveals deficit in A39 codes.,Immediate ≤24 h
Cat 1,Mpox,B04,NA,NA,NA,NA,NA
Cat 1,Pertussis,A37.9,1C12.Z,B.pertussis→A37.0/1C12.0; B.parapertussis→A37.1/1C12.1; with pneumonia→A37.01; unspecified→A37.9/1C12.Z. ⚠ ICD-11 CA44=PYOTHORAX — dangerous collision.,"⚠ Infant deaths coded J18.9, J21.9 or J96.0 when whooping cough not documented. PCR rarely on certificate. CA44 is pyothorax in ICD-11 — must not be used for pertussis.",Pertussis infant deaths severely undercounted in SA MACOD. J18.9 and J21.9 are common proxies. A37 codes rare in under-5 MACOD.,Immediate ≤24 h
Cat 1,Plague,A20.9,1B93.Z,Bubonic→A20.0/1B93.0; septicaemic→A20.7/1B93.3; pneumonic→A20.2/1B93.2; unspecified→A20.9/1B93.Z,⚠ Plague septicaemia coded A41.9; pneumonic plague as J15.9 without aetiological specification.,Extremely rare in SA MACOD. Any plague death would appear as A41.9 unless NICD confirmation fed back to certifying doctor.,Immediate ≤24 h
Cat 1,Poliomyelitis,A80.9,1C81.Z,Wild-type→A80.1/1C81.1; vaccine-associated→A80.0/1C81.0; paralytic unspec→A80.30; non-paralytic→A80.4; unspecified→A80.9/1C81.Z,⚠ Post-polio syndrome (G14) is a distinct late sequela — not for acute deaths. Respiratory failure coded J96 rather than A80 on certificate.,Near-absent from MACOD (elimination era). Any A80 code should trigger immediate reconciliation with AFP surveillance and NICD.,Immediate ≤24 h
Cat 1,Rabies (human),A82.9,1C82.Z,Encephalitic (furious)→A82.0/1C82.0; paralytic (dumb)→A82.1/1C82.1; unspecified→A82.9/1C82.Z,⚠ Encephalitis coded G04.9 or A86 (viral encephalitis NOS) when dog bite not documented. Dumb rabies mistaken for Guillain-Barré (G61.0).,SA MACOD substantially undercounts rabies deaths. KZN is endemic but deaths appear as G04.9 or A86 without A82 attribution.,Immediate ≤24 h
Cat 1,Respiratory disease — novel pathogen,U07.1,RA01.0,SARS-CoV-2 confirmed→U07.1/RA01.0; clinical dx→U07.2/RA01.1; MERS-CoV→U04; novel influenza A→J09; unspecified novel→J22,"⚠ U07.1 not in standard ICD-10 hierarchy — SA facilities used J18.9, B34.2 (coronavirus NOS) or R99 early pandemic. U07.2 (clinical dx) coded differently across provinces.",Significant COVID-19 death undercount in SA MACOD 2020. U07.1 uptake improved after NDOH circular but early data unreliable. Excess mortality shows >3× true toll.,Immediate ≤24 h
Cat 1,Rift Valley fever (human),A92.4,1D42,RVF haemorrhagic→A92.4/1D42; encephalitis→A92.4+G05*/1D42; retinal vasculitis→A92.4+H58*,⚠ RVF deaths coded A99 (haemorrhagic fever NOS) or A86 (viral encephalitis) without lab confirmation on certificate.,Absent from routine SA MACOD. Any suspected RVF death must be reported to NICD before certificate completion.,Immediate ≤24 h
Cat 1,Smallpox,B03,1E70,Variola major→B03/1E70. Mpox (monkeypox)→B04/1E71 — NOT B03. Varicella→B01/1E90.,⚠ B03 absent from global death data since 1978. Any B03 in MACOD is a miscoding artefact — likely mpox (B04/1E71) or varicella (B01/1E90). Requires immediate NICD notification.,B03 in SA MACOD = data entry error. Should be B04 (mpox) or B01 (varicella).,Immediate ≤24 h
Cat 1,Viral haemorrhagic fever diseases,A99,1D6Z,Ebola→A98.3/1D60; Marburg→A98.3/1D61; Lassa→A96.2/1D62; CCHF→A98.0/1D42.1; Lujo→A96.8; unspecified VHF→A99/1D6Z,"⚠ VHF deaths coded A41.9, D65 (DIC) or R68.89 (multi-organ failure) pending confirmation. CCHF endemic in Northern Cape (tick exposure).","CCHF deaths may appear as A98.0, A99, or D65 in Northern Cape MACOD. Lab confirmation through NICD required for specific coding.",Immediate ≤24 h
Cat 1,Yellow fever,A95.9,1D47.Z,Jungle (sylvatic)→A95.0/1D47.0; urban→A95.1/1D47.1; unspecified→A95.9/1D47.Z,⚠ Not endemic in SA. Imported from ECOWAS. Deaths appear as K72.0 (liver failure) or A99 (haemorrhagic fever) if YF not documented.,Absent from SA MACOD. Any A95 code should trigger travel history verification and NICD notification.,Immediate ≤24 h
Cat 2,Agricultural/stock remedy poisoning,T65.9,NE91.Z,Organophosphate→T60.0/NE91.0; paraquat→T65.8/NE9Z; carbamate→T60.0; unspecified→T60.9/NE91.Z,⚠ Deaths coded J96 or I46.9 (cardiac arrest) when toxicological exposure absent from certificate. Intent (accidental vs deliberate) is an additional coding challenge.,Agricultural poisoning deaths significantly undercoded in SA MACOD. Paraquat ingestion deaths common in KZN and Limpopo.,≤7 days
Cat 2,Bilharzia (schistosomiasis),B65.9,1F60.Z,S.haematobium→B65.0/1F60.0; S.mansoni→B65.1/1F60.1; hepatosplenic→B65.1+K77*/1F60.1; hepatic fibrosis→B65.9+K74.6*,"⚠ Advanced schistosomiasis deaths coded K74.6 (cirrhosis), K76.6 (portal hypertension) or K92.2 (UGI bleed) without B65 as UCoD.",Bilharzia burden in SA MACOD grossly underestimated. Advanced hepatosplenic disease appears as cirrhosis (K74.6) without B65 attribution.,≤7 days
Cat 2,Brucellosis,A23.9,1B95.Z,B.abortus→A23.0/1B95.0; B.melitensis→A23.1/1B95.1; B.suis→A23.2/1B95.2; B.canis→A23.3; unspecified→A23.9/1B95.Z,"⚠ Deaths coded R50.9, I38 (endocarditis), or A41.9 when serological confirmation absent. Occupational exposure in abattoir workers.",Rare in SA MACOD. Deaths coded R50.9 or A41.9 without brucellosis attribution.,≤7 days
Cat 2,Congenital rubella syndrome,P35.0,KA62.0,Neonatal→P35.0/KA62.0; rubella in pregnancy→O35.3; structural defect+P35.0* (dagger-asterisk convention),"⚠ CRS infant deaths coded to structural defect (Q20–Q24 cardiac, Q12 ophthalmic) without P35.0 as UCoD — vaccine-preventable aetiology hidden.",CRS deaths appear under Q20–Q24 in MACOD. P35.0 rarely coded as UCoD — major gap in vaccine-preventable disease mortality tracking.,≤7 days
Cat 2,Congenital syphilis,A50.9,KA62.4Z,Early symptomatic→A50.0; early latent→A50.1; late→A50.7; Hutchinson's triad→A50.52; unspecified→A50.9/KA62.4Z,⚠ Neonatal syphilis deaths coded P36.9 (neonatal sepsis NOS) or P07 (preterm) without A50. Intrauterine deaths (stillbirths) outside MACOD scope.,Congenital syphilis deaths substantially undercounted in SA MACOD. P36.9 and P07 are common proxies. Stillbirth burden outside ICD death certificate scope.,≤7 days
Cat 2,Coronavirus disease (COVID-19),U07.1,RA01.0,Confirmed→U07.1/RA01.0; clinical dx→U07.2/RA01.1; post-COVID→U09.9/RA02,"⚠ U07.1 emergency code not in standard ICD-10 tree — SA facilities used J18.9, B34.2 or R99 early 2020. U07.2 uptake inconsistent across provinces.",COVID-19 UCoD coding in SA MACOD improved post-NDOH circular but early 2020–21 data unreliable. Excess mortality shows 3× true death toll vs MACOD coded counts.,≤7 days
Cat 2,Haemophilus influenzae type B,G00.0,CA40.02,HiB meningitis→G00.0; HiB pneumonia→J14/CA40.02; HiB septicaemia→A41.3; epiglottitis→J05.1+B96.3*. ICD-11 lacks specific HiB meningitis stem; use CA40.02 for pneumonia context.,"⚠ HiB deaths coded G03.9, J18.9 or A41.9 without B96.3 supplementary code. Organism-specific supplementary codes rarely applied on SA certificates.","HiB meningitis decline since vaccine introduction partially visible in MACOD G00.0 trends, but G03.9 and J18.9 remain common proxies for unconfirmed cases.",≤7 days
Cat 2,Hepatitis A,B15.9,1E50.Z,Fulminant (with coma)→B15.0/1E50.0; without coma→B15.9/1E50.Z,⚠ Fulminant hepatitis A deaths coded K72.0 (liver failure) or K72.9 (hepatic encephalopathy) as UCoD — vaccine-preventable aetiology invisible.,B15 codes underrepresented in SA MACOD. Fulminant hepatitis A appears as K72.0 or K72.9.,≤7 days
Cat 2,Hepatitis B,B16.9,1E51.Z,Acute with delta+coma→B16.0; acute without→B16.9/1E51.Z; chronic→B18.1/1E51.1; cirrhosis→K74.6†+B18.1*; HCC→C22.0†+B18.1*,"⚠ Chronic HBV deaths in MACOD coded K74.6, K72.1 or C22.0 without B18.1 as UCoD. Dagger-asterisk convention not implemented in SA MACOD processing.",Hepatitis B is a major MACOD coding gap. HCC (C22.0) deaths do not have B18.1 linked as UCoD. True HBV mortality burden invisible in ICD chapter analyses.,≤7 days
Cat 2,Hepatitis C,B17.1,1E52.Z,Acute→B17.1/1E52.0; chronic→B18.2/1E52.1; cirrhosis→K74.6†+B18.2*; HCC→C22.0†+B18.2*,⚠ Same pattern as HBV: HCC and cirrhosis coded at terminal manifestation. B18.2 rare in SA MACOD; K74.6 and C22.0 dominate.,HCV death coding absent from SA MACOD in practice. B17.1/B18.2 extremely rare; K74.6 and C22.0 are dominant proxy codes.,≤7 days
Cat 2,Hepatitis E,B17.2,1E53,Acute HEV→B17.2/1E53; fulminant in pregnancy→B17.2+O98.4; zoonotic genotype 3/4 from pigs underrecognised in SA,⚠ HEV deaths in pregnancy coded O26.6 (liver disorder in pregnancy) or O95 (maternal death NOS) without B17.2 aetiology.,HEV near-absent in SA MACOD; likely coded B17.9 (acute viral hepatitis NOS) or liver failure codes.,≤7 days
Cat 2,Lead poisoning,T56.0,NE92.0,Toxic effect→T56.0/NE92.0; encephalopathy→G92+T56.0*; nephropathy→N14.3+T56.0*,"⚠ Chronic lead poisoning deaths coded N18.5 (ESRD), G93.4 (encephalopathy) or D64.9 (anaemia) without T56.0 as UCoD. SA context: mine workers and informal lead recycling.",Lead poisoning deaths near-absent from SA MACOD. True occupational burden hidden in ESRD (N18.5) and anaemia (D64) codes.,≤7 days
Cat 2,Legionellosis,A48.1,1C19.1,Legionnaires' disease (pneumonia)→A48.1/1C19.1; Pontiac fever (non-pneumonic)→A48.2/1C19.0; unspecified→1C19.Z,⚠ Legionella pneumonia deaths coded J18.9 or J15.9 without A48.1 unless urinary antigen/culture on certificate. Healthcare-associated outbreaks (SA hospital cooling towers) particularly likely to be miscoded.,A48.1 significantly under-represented in SA MACOD. Legionella deaths appear as J15.9 or J18.9. Outbreaks undetectable in MACOD without active lab surveillance linkage.,≤7 days
Cat 2,Leprosy,A30.9,1B20.Z,Tuberculoid→A30.1/1B20.1; borderline→A30.3/1B20.3; lepromatous→A30.5/1B20.5; unspecified→A30.9/1B20.Z,"⚠ Leprosy deaths (rare in SA) have terminal events coded N18.5, A41.9 or 'diabetic foot' codes without A30 as UCoD.",Leprosy near-absent from SA MACOD; deaths appear under terminal complication codes.,≤7 days
Cat 2,Maternal death,O95,JA8Z,Direct obstetric→O95; indirect (TB/HIV in pregnancy)→O98; late maternal→O96/O97; unspecified→O95/JA8Z,"⚠ Deaths coded outside O-chapter (A15 TB, B20 HIV) not counted in MMR. Converse also occurs: non-obstetric deaths in pregnant women over-coded O95. NCCEMD data reconciles poorly with MACOD O-chapter counts.",Maternal death is the single largest CoD coding discrepancy in SA vital statistics. NCCEMD counts consistently exceed MACOD O-chapter deaths by 30–50%+ due to indirect cause misclassification.,≤7 days
Cat 2,Mercury poisoning,T56.1,NE92.1,Organic mercury (methylmercury)→T56.1/NE92.1; acrodynia→T56.1; renal failure→N17+T56.1*,"⚠ Mercury poisoning deaths coded N18.9, G62.2 or R99. ASGM (artisanal gold mining) in SA — occupational deaths undetected in MACOD.",Near-absent from SA MACOD. Artisanal miner deaths appear as renal failure or unexplained neuropathy.,≤7 days
Cat 2,Soil-transmitted helminths,B82.0,1F8Z,Ascariasis→B77.9/1F8Y; hookworm (Ancylostoma/Necator)→B76.9/1F8Y; trichuriasis→B79/1F8Y; mixed→B82.0/1F8Z,"⚠ STH deaths are indirect (anaemia D50, malnutrition E44, bowel obstruction K56.6). These terminal codes appear in MACOD without B-chapter helminth UCoD.","STH deaths absent from SA MACOD as coded UCoD. Indirect mortality via D50, E44, K56.6 — helminth aetiology invisible.",≤7 days
Cat 2,Tetanus,A35,1C13 / 1C14 / 1C15,ICD-11 separates: generalised→1C13; obstetrical→1C14; neonatal→1C15. ICD-10: neonatal→A33; obstetric→A34; generalised→A35.,"⚠ Tetanus deaths coded J96 (respiratory failure), J69.0 (aspiration pneumonia) or P36.9 (neonatal sepsis NOS). Neonatal tetanus particularly likely to be P36.9.",Tetanus rare in SA MACOD (vaccination era). Neonatal tetanus deaths in under-vaccinated communities coded P36.9 rather than A33/1C15.,≤7 days
Cat 2,Tuberculosis: MDR-TB,A15.0,1B10.1 + QA48,Anatomical site code + resistance code U51 (any resistance). QA48 = MDR-TB qualifier in ICD-11. WHO 2021 MDR-TB definition applies.,⚠ U51/QA48 resistance codes never applied on SA death certificates. MDR-TB and DS-TB deaths identical in MACOD ICD-10 coded data — drug resistance only traceable via NHLS DST results.,MDR-TB invisible in SA MACOD coded data. Resistance burden tracked through NHLS linkage only. Recognised data quality gap in SA TB surveillance.,≤7 days
Cat 2,Tuberculosis: XDR-TB,A15.0,1B10.1 + QA49,XDR per WHO 2021 definition. Resistance code: U51.2 (pre-XDR) / U51.3 (XDR) in ICD-10; QA49 in ICD-11.,⚠ Same as MDR-TB: XDR deaths coded identically to DS-TB in MACOD (A15.0 only). U51 codes never applied. SA XDR-TB mortality surveillance depends entirely on NHLS data.,XDR-TB deaths completely invisible in SA MACOD coded data. Policy on XDR treatment cannot be grounded in MACOD-only analysis.,≤7 days
Cat 2,Tuberculosis: extra-pulmonary,A18.9,1B12.Z,TB meningitis→A17.0/1B11; TB pericarditis→A18.84/1B12.8; TB lymphadenitis→A18.2; miliary→A19.9/1B13; unspecified→A18.9/1B12.Z,⚠ TB pericarditis coded I31 (pericardial disease NOS); TB meningitis coded G03.9; miliary TB coded A41.9 or J80 (ARDS). All hide TB aetiology.,"Extra-pulmonary TB undercounted in MACOD; pericarditis, meningitis, miliary TB appear under cardiac, neurological and sepsis codes without A17–A19 attribution.",≤7 days
Cat 2,Tuberculosis: pulmonary,A15.0,1B10.1,Bacteriologically confirmed→A15.0/1B10.1; histologically→A15.1/1B10.1; clinical dx→A16.2 (ICD-10 only; removed ICD-11),⚠ Most significant SA MACOD issue: TB deaths in HIV+ individuals coded B20 or B22.1 rather than A15.0 as UCoD. WHO rules require infectious underlying cause — practice inconsistent. A16 codes indicate no bacteriological confirmation.,TB/HIV dual coding is the primary MACOD coding controversy in SA. Excess TB deaths estimated 2–3× MACOD A15 count when HIV-attributed deaths with TB included.,≤7 days
Cat 3,Endemic arboviral diseases (West Nile/Sindbis/Chikungunya),A92.9,1D41.Z,West Nile→A92.3/1D41.1; Chikungunya→A92.0/1D41.0; Sindbis→A93.8; unspecified→A92.9/1D41.Z,⚠ West Nile encephalitis deaths coded G04.9 or A86 rather than A92.3. Chikungunya deaths in elderly coded I51.4 (myocarditis) without A92.0.,Endemic arboviral deaths absent from SA MACOD coded data; coded as G04.9 or A86. West Nile encephalitis sporadic in SA but undocumented in MACOD.,≤7 days (lab)
Cat 3,Gonorrhoea (ceftriaxone-resistant N.gonorrhoeae),A54.9,1A7Z,Uncomplicated→A54.0/1A70; pelvic peritonitis→A54.24; disseminated→A54.85; septicaemia→A54.86; unspecified→A54.9/1A7Z,⚠ Gonorrhoea deaths very rare; disseminated GC coded A54.85–86 or A41.89 without AMR flag. No drug-resistance supplementary code applied in practice.,Near-absent as CoD in SA MACOD. AMR resistance not capturable in MACOD ICD-10 without supplementary codes which are not applied.,≤7 days (lab)
Cat 3,Non-endemic arboviral diseases (Dengue/other imported),A90,1D20.Z,Dengue without warning signs→A90/1D20.0; severe dengue/DHF→A91/1D20.1; Zika→A92.5; unspecified→A90/1D20.Z,"⚠ Imported dengue deaths coded D69.6 (thrombocytopaenia), K72.0 (liver failure), or A99 (haemorrhagic fever NOS). Travel history absent from certificates.","Near-absent from SA MACOD. Imported dengue deaths appear as D69.6, K72.0 or A99.",≤7 days (lab)
Cat 3,Non-typhoidal Salmonellosis (NTS),A02.9,1A09.Z,NTS bacteraemia→A02.1/1A09.1; NTS focal infection→A02.8; NTS gastroenteritis→A02.0/1A09.0; unspecified→A02.9/1A09.Z,⚠ NTS bacteraemia in HIV+ individuals (common AIDS-defining illness) coded B20/B22 without A02.1 as UCoD. NTS septicaemia coded A41.89 when speciation absent.,NTS bacteraemia — one of the most common HIV-associated OIs in SA — virtually invisible in MACOD due to B20 coding as UCoD.,≤7 days (lab)
Cat 3,Rubella,B06.9,1F02.Z,With neurological→B06.0/1F02.0; with other complications→B06.8/1F02.Y; uncomplicated→B06.9/1F02.Z. ⚠ ICD-11: Roseola infantum=1F01; Rubella=1F02 — collision risk.,⚠ Rubella encephalitis coded A86 (viral encephalitis NOS). CRS (P35.0/KA62.0) is the more common MACOD entry point. ICD-11 code 1F01=Roseola not Rubella.,Rubella deaths rare in SA MACOD (vaccination era). CRS deaths are the primary rubella coding gap (see Cat 2).,≤7 days (lab)
Cat 3,Shiga toxin-producing E.coli (STEC),A04.3,1A03.1,STEC enterocolitis (E.coli O157:H7)→A04.3/1A03.1; HUS complication→D59.3/3A21.2 as sequela (A04.3 remains UCoD),⚠ STEC deaths coded D59.3 (HUS) or N17.9 (AKI) as UCoD rather than A04.3. Coding rule (infectious aetiology=UCoD) not consistently applied.,STEC/HUS deaths in SA MACOD appear predominantly under D59.3 or N17.9 rather than A04.3. Infectious aetiology invisible in ICD chapter analyses.,≤7 days (lab)
Cat 3,Shigellosis,A03.9,1A02.Z,S.dysenteriae→A03.0/1A02.0; S.flexneri→A03.1/1A02.1; S.boydii→A03.2/1A02.2; S.sonnei→A03.3/1A02.3; unspecified→A03.9/1A02.Z,"⚠ Shigella deaths in under-5s coded A09, E86 (dehydration) or K52.9 (haemorrhagic colitis) without A03 aetiology.","Shigellosis deaths undercounted in SA MACOD under-5 mortality. A09, E86 and K52.9 are common proxy codes.",≤7 days (lab)
Cat 4,HCAI/MDRO — CPE (Carbapenemase-producing Enterobacteriaceae),A41.59,1G41.Z + XY7H.Y,*ICD-10-CM only: A41.59. WHO ICD-10 (SA): A41.5 (other Gram-negative sepsis). Resistance→U80.1/XY7H.Y (never applied on SA certificates).,⚠ U80.1 never applied on SA death certificates. CPE sepsis coded A41.5 (WHO ICD-10) not A41.59 (ICD-10-CM). CPE mortality invisible in MACOD — only detectable through NHLS AMR surveillance.,CPE deaths indistinguishable from other Gram-negative sepsis (A41.5) in SA MACOD. NHLS AMR data is the only source for CPE mortality burden.,≤1 month (lab)
Cat 4,HCAI/MDRO — Clostridioides difficile (CDI),A04.7,1A04,C.difficile colitis→A04.7/1A04; fulminant/toxic megacolon→A04.7+K57.2*; pseudomembranous colitis→K52.1. ICD-11 1A04 confirmed (same block as ICD-10 A04 family).,"⚠ CDI deaths coded K52.1 (pseudomembranous colitis NOS), K57.2 (toxic megacolon) or sepsis codes as UCoD rather than A04.7. Post-antibiotic context not capturable in MACOD.","CDI deaths in SA MACOD appear under K52.1, K57.2 or E-chapter sepsis codes. A04.7 under-used as UCoD. Healthcare-associated context not capturable.",≤1 month (lab)
Cat 4,HCAI/MDRO — Colistin-resistant Acinetobacter baumannii,A41.5,1G41.Z + XY7H.Y,*Same as CRPA above. CRAB pattern; colistin resistance U80.4/XY7H.Y. VAP context: J15.5 (bacterial pneumonia unspecified).,⚠ Same AMR invisibility pattern. Acinetobacter is critical ICU pathogen in SA. CRAB outbreaks undetectable in MACOD coded data.,CRAB ICU deaths coded A41.5 or J15.9 in SA MACOD — organism and resistance both invisible. Critical gap for HCAI/HAP surveillance.,≤1 month (lab)
Cat 4,HCAI/MDRO — Colistin-resistant Pseudomonas aeruginosa,A41.5,1G41.Z + XY7H.Y,*WHO ICD-10 (SA): A41.5 (Gram-negative sepsis). ICD-10-CM A41.59 does not apply. Colistin resistance U80.4/XY7H.Y never applied.,⚠ CRPA sepsis in SA MACOD: A41.5 without organism or resistance specification. WHO ICD-10 uses A41.5 not A41.59 (ICD-10-CM).,CRPA deaths invisible in SA MACOD coded data. A41.5 codes all Gram-negative sepsis without organism identification.,≤1 month (lab)
Cat 4,HCAI/MDRO — S.aureus (MRSA/hGISA/GISA),A41.0,1G41.0 + XY7H.Y,*WHO ICD-10 (SA): A41.0 (S.aureus sepsis — no MRSA subcode). ICD-10-CM A41.01 (MRSA) does NOT exist in WHO ICD-10. U82.0 resistance code never applied.,⚠ MRSA deaths appear as A41.0 in SA MACOD without resistance distinction. A41.01 is ICD-10-CM only — SA uses WHO ICD-10.,MRSA deaths in SA MACOD indistinguishable from MSSA. No resistance qualifier in WHO ICD-10. NHLS AMR data is the only source.,≤1 month (lab)
Cat 4,HCAI/MDRO — VRE (Vancomycin-resistant enterococci),A41.8,1G41.Z + XY7H.Y,*WHO ICD-10 (SA): A41.8 (other specified sepsis). ICD-10-CM A41.81 does NOT exist in WHO ICD-10. U80.3 resistance code never applied.,⚠ VRE deaths appear as A41.8 (WHO ICD-10) without resistance qualifier. Resistance invisible in MACOD.,VRE deaths coded A41.8 in SA MACOD. No AMR resistance codes applied. NHLS AMR surveillance only source.,≤1 month (lab)
